Sexo;Municipios;País de nacimiento;Total
Ambos sexos;41001-Aguadulce;Total Población;2.165
Ambos sexos;41001-Aguadulce;Nacidos en España;1.985
Ambos sexos;41001-Aguadulce;Nacidos en el Extranjero;180
Ambos sexos;41001-Aguadulce;Total Europa;145
Ambos sexos;41001-Aguadulce;Total Unión Europea;143
Ambos sexos;41001-Aguadulce;Alemania;1
Ambos sexos;41001-Aguadulce;Bulgaria;1
Ambos sexos;41001-Aguadulce;Francia;2
Ambos sexos;41001-Aguadulce;Italia;1
Ambos sexos;41001-Aguadulce;Polonia;0
Ambos sexos;41001-Aguadulce;Portugal;0
Ambos sexos;41001-Aguadulce;Reino Unido;110
Ambos sexos;41001-Aguadulce;Rumanía;26
Ambos sexos;41001-Aguadulce;Total Europa No Comunitaria;2
Ambos sexos;41001-Aguadulce;Rusia;0
Ambos sexos;41001-Aguadulce;Ucrania;0
Ambos sexos;41001-Aguadulce;Total Africa;11
Ambos sexos;41001-Aguadulce;Argelia;1
Ambos sexos;41001-Aguadulce;Marruecos;10
Ambos sexos;41001-Aguadulce;Nigeria;0
Ambos sexos;41001-Aguadulce;Senegal;0
Ambos sexos;41001-Aguadulce;Total América;23
Ambos sexos;41001-Aguadulce;Argentina;1
Ambos sexos;41001-Aguadulce;Bolivia;0
Ambos sexos;41001-Aguadulce;Brasil;0
Ambos sexos;41001-Aguadulce;Colombia;2
Ambos sexos;41001-Aguadulce;Cuba;1
Ambos sexos;41001-Aguadulce;Chile;0
Ambos sexos;41001-Aguadulce;Ecuador;4
Ambos sexos;41001-Aguadulce;Paraguay;3
Ambos sexos;41001-Aguadulce;Perú;1
Ambos sexos;41001-Aguadulce;Rep. Dominicana;1
Ambos sexos;41001-Aguadulce;Uruguay;0
Ambos sexos;41001-Aguadulce;Venezuela;2
Ambos sexos;41001-Aguadulce;Total Asia;1
Ambos sexos;41001-Aguadulce;China;1
Ambos sexos;41001-Aguadulce;Pakistán;0
Ambos sexos;41001-Aguadulce;Total Oceanía;0
Ambos sexos;41002-Alanís;Total Población;1.859
Ambos sexos;41002-Alanís;Nacidos en España;1.808
Ambos sexos;41002-Alanís;Nacidos en el Extranjero;51
Ambos sexos;41002-Alanís;Total Europa;38
Ambos sexos;41002-Alanís;Total Unión Europea;38
Ambos sexos;41002-Alanís;Alemania;0
Ambos sexos;41002-Alanís;Bulgaria;0
Ambos sexos;41002-Alanís;Francia;0
Ambos sexos;41002-Alanís;Italia;16
Ambos sexos;41002-Alanís;Polonia;2
Ambos sexos;41002-Alanís;Portugal;0
Ambos sexos;41002-Alanís;Reino Unido;0
Ambos sexos;41002-Alanís;Rumanía;20
Ambos sexos;41002-Alanís;Total Europa No Comunitaria;0
Ambos sexos;41002-Alanís;Rusia;0
Ambos sexos;41002-Alanís;Ucrania;0
Ambos sexos;41002-Alanís;Total Africa;5
Ambos sexos;41002-Alanís;Argelia;0
Ambos sexos;41002-Alanís;Marruecos;5
Ambos sexos;41002-Alanís;Nigeria;0
Ambos sexos;41002-Alanís;Senegal;0
Ambos sexos;41002-Alanís;Total América;6
Ambos sexos;41002-Alanís;Argentina;0
Ambos sexos;41002-Alanís;Bolivia;0
Ambos sexos;41002-Alanís;Brasil;3
Ambos sexos;41002-Alanís;Colombia;0
Ambos sexos;41002-Alanís;Cuba;0
Ambos sexos;41002-Alanís;Chile;0
Ambos sexos;41002-Alanís;Ecuador;2
Ambos sexos;41002-Alanís;Paraguay;1
Ambos sexos;41002-Alanís;Perú;0
Ambos sexos;41002-Alanís;Rep. Dominicana;0
Ambos sexos;41002-Alanís;Uruguay;0
Ambos sexos;41002-Alanís;Venezuela;0
Ambos sexos;41002-Alanís;Total Asia;2
Ambos sexos;41002-Alanís;China;0
Ambos sexos;41002-Alanís;Pakistán;0
Ambos sexos;41002-Alanís;Total Oceanía;0
Ambos sexos;41003-Albaida del Aljarafe;Total Población;2.971
Ambos sexos;41003-Albaida del Aljarafe;Nacidos en España;2.846
Ambos sexos;41003-Albaida del Aljarafe;Nacidos en el Extranjero;125
Ambos sexos;41003-Albaida del Aljarafe;Total Europa;70
Ambos sexos;41003-Albaida del Aljarafe;Total Unión Europea;67
Ambos sexos;41003-Albaida del Aljarafe;Alemania;2
Ambos sexos;41003-Albaida del Aljarafe;Bulgaria;0
Ambos sexos;41003-Albaida del Aljarafe;Francia;4
Ambos sexos;41003-Albaida del Aljarafe;Italia;1
Ambos sexos;41003-Albaida del Aljarafe;Polonia;0
Ambos sexos;41003-Albaida del Aljarafe;Portugal;10
Ambos sexos;41003-Albaida del Aljarafe;Reino Unido;1
Ambos sexos;41003-Albaida del Aljarafe;Rumanía;44
Ambos sexos;41003-Albaida del Aljarafe;Total Europa No Comunitaria;3
Ambos sexos;41003-Albaida del Aljarafe;Rusia;0
Ambos sexos;41003-Albaida del Aljarafe;Ucrania;0
Ambos sexos;41003-Albaida del Aljarafe;Total Africa;19
Ambos sexos;41003-Albaida del Aljarafe;Argelia;6
Ambos sexos;41003-Albaida del Aljarafe;Marruecos;11
Ambos sexos;41003-Albaida del Aljarafe;Nigeria;0
Ambos sexos;41003-Albaida del Aljarafe;Senegal;0
Ambos sexos;41003-Albaida del Aljarafe;Total América;35
Ambos sexos;41003-Albaida del Aljarafe;Argentina;7
Ambos sexos;41003-Albaida del Aljarafe;Bolivia;3
Ambos sexos;41003-Albaida del Aljarafe;Brasil;1
Ambos sexos;41003-Albaida del Aljarafe;Colombia;6
Ambos sexos;41003-Albaida del Aljarafe;Cuba;0
Ambos sexos;41003-Albaida del Aljarafe;Chile;1
Ambos sexos;41003-Albaida del Aljarafe;Ecuador;8
Ambos sexos;41003-Albaida del Aljarafe;Paraguay;0
Ambos sexos;41003-Albaida del Aljarafe;Perú;0
Ambos sexos;41003-Albaida del Aljarafe;Rep. Dominicana;4
Ambos sexos;41003-Albaida del Aljarafe;Uruguay;2
Ambos sexos;41003-Albaida del Aljarafe;Venezuela;0
Ambos sexos;41003-Albaida del Aljarafe;Total Asia;1
Ambos sexos;41003-Albaida del Aljarafe;China;0
Ambos sexos;41003-Albaida del Aljarafe;Pakistán;0
Ambos sexos;41003-Albaida del Aljarafe;Total Oceanía;0
Ambos sexos;41004-Alcalá de Guadaíra;Total Población;72.800
Ambos sexos;41004-Alcalá de Guadaíra;Nacidos en España;69.865
Ambos sexos;41004-Alcalá de Guadaíra;Nacidos en el Extranjero;2.935
Ambos sexos;41004-Alcalá de Guadaíra;Total Europa;1.067
Ambos sexos;41004-Alcalá de Guadaíra;Total Unión Europea;931
Ambos sexos;41004-Alcalá de Guadaíra;Alemania;249
Ambos sexos;41004-Alcalá de Guadaíra;Bulgaria;22
Ambos sexos;41004-Alcalá de Guadaíra;Francia;121
Ambos sexos;41004-Alcalá de Guadaíra;Italia;40
Ambos sexos;41004-Alcalá de Guadaíra;Polonia;0
Ambos sexos;41004-Alcalá de Guadaíra;Portugal;99
Ambos sexos;41004-Alcalá de Guadaíra;Reino Unido;51
Ambos sexos;41004-Alcalá de Guadaíra;Rumanía;178
Ambos sexos;41004-Alcalá de Guadaíra;Total Europa No Comunitaria;136
Ambos sexos;41004-Alcalá de Guadaíra;Rusia;34
Ambos sexos;41004-Alcalá de Guadaíra;Ucrania;39
