Sexo;Municipios;Lugar de nacimiento;Total
Ambos sexos;14001-Adamuz;Total Población;4.419
Ambos sexos;14001-Adamuz;Nacidos en España;4.241
Ambos sexos;14001-Adamuz;Nacidos en el Extranjero;178
Ambos sexos;14001-Adamuz;Total Europa;140
Ambos sexos;14001-Adamuz;Total Unión Europea;132
Ambos sexos;14001-Adamuz;Alemania;1
Ambos sexos;14001-Adamuz;Bulgaria;1
Ambos sexos;14001-Adamuz;Francia;6
Ambos sexos;14001-Adamuz;Italia;0
Ambos sexos;14001-Adamuz;Polonia;0
Ambos sexos;14001-Adamuz;Portugal;1
Ambos sexos;14001-Adamuz;Reino Unido;0
Ambos sexos;14001-Adamuz;Rumanía;123
Ambos sexos;14001-Adamuz;Total Europa No Comunitaria;8
Ambos sexos;14001-Adamuz;Rusia;1
Ambos sexos;14001-Adamuz;Ucrania;0
Ambos sexos;14001-Adamuz;Total Africa;27
Ambos sexos;14001-Adamuz;Argelia;0
Ambos sexos;14001-Adamuz;Marruecos;27
Ambos sexos;14001-Adamuz;Nigeria;0
Ambos sexos;14001-Adamuz;Senegal;0
Ambos sexos;14001-Adamuz;Total América;11
Ambos sexos;14001-Adamuz;Argentina;0
Ambos sexos;14001-Adamuz;Bolivia;0
Ambos sexos;14001-Adamuz;Brasil;1
Ambos sexos;14001-Adamuz;Colombia;3
Ambos sexos;14001-Adamuz;Cuba;0
Ambos sexos;14001-Adamuz;Chile;0
Ambos sexos;14001-Adamuz;Ecuador;1
Ambos sexos;14001-Adamuz;Paraguay;0
Ambos sexos;14001-Adamuz;Perú;0
Ambos sexos;14001-Adamuz;Rep. Dominicana;0
Ambos sexos;14001-Adamuz;Uruguay;2
Ambos sexos;14001-Adamuz;Venezuela;0
Ambos sexos;14001-Adamuz;Total Asia;0
Ambos sexos;14001-Adamuz;China;0
Ambos sexos;14001-Adamuz;Pakistán;0
Ambos sexos;14001-Adamuz;Oceanía;0
Ambos sexos;14002-Aguilar de la Frontera;Total Población;13.746
Ambos sexos;14002-Aguilar de la Frontera;Nacidos en España;13.400
Ambos sexos;14002-Aguilar de la Frontera;Nacidos en el Extranjero;346
Ambos sexos;14002-Aguilar de la Frontera;Total Europa;112
Ambos sexos;14002-Aguilar de la Frontera;Total Unión Europea;102
Ambos sexos;14002-Aguilar de la Frontera;Alemania;10
Ambos sexos;14002-Aguilar de la Frontera;Bulgaria;1
Ambos sexos;14002-Aguilar de la Frontera;Francia;5
Ambos sexos;14002-Aguilar de la Frontera;Italia;2
Ambos sexos;14002-Aguilar de la Frontera;Polonia;1
Ambos sexos;14002-Aguilar de la Frontera;Portugal;1
Ambos sexos;14002-Aguilar de la Frontera;Reino Unido;12
Ambos sexos;14002-Aguilar de la Frontera;Rumanía;62
Ambos sexos;14002-Aguilar de la Frontera;Total Europa No Comunitaria;10
Ambos sexos;14002-Aguilar de la Frontera;Rusia;0
Ambos sexos;14002-Aguilar de la Frontera;Ucrania;9
Ambos sexos;14002-Aguilar de la Frontera;Total Africa;181
Ambos sexos;14002-Aguilar de la Frontera;Argelia;4
Ambos sexos;14002-Aguilar de la Frontera;Marruecos;176
Ambos sexos;14002-Aguilar de la Frontera;Nigeria;0
Ambos sexos;14002-Aguilar de la Frontera;Senegal;1
Ambos sexos;14002-Aguilar de la Frontera;Total América;43
Ambos sexos;14002-Aguilar de la Frontera;Argentina;0
Ambos sexos;14002-Aguilar de la Frontera;Bolivia;6
Ambos sexos;14002-Aguilar de la Frontera;Brasil;12
Ambos sexos;14002-Aguilar de la Frontera;Colombia;1
Ambos sexos;14002-Aguilar de la Frontera;Cuba;2
Ambos sexos;14002-Aguilar de la Frontera;Chile;1
