Sexo;Municipios;País de nacimiento;Total
Ambos sexos;41001-Aguadulce;Total Población;2.026
Ambos sexos;41001-Aguadulce;Nacidos en España;1.908
Ambos sexos;41001-Aguadulce;Nacidos en el Extranjero;118
Ambos sexos;41001-Aguadulce;Total Europa;83
Ambos sexos;41001-Aguadulce;Total Unión Europea;81
Ambos sexos;41001-Aguadulce;Alemania;2
Ambos sexos;41001-Aguadulce;Bulgaria;0
Ambos sexos;41001-Aguadulce;Francia;2
Ambos sexos;41001-Aguadulce;Italia;1
Ambos sexos;41001-Aguadulce;Polonia;0
Ambos sexos;41001-Aguadulce;Portugal;0
Ambos sexos;41001-Aguadulce;Reino Unido;57
Ambos sexos;41001-Aguadulce;Rumanía;19
Ambos sexos;41001-Aguadulce;Total Europa No Comunitaria;2
Ambos sexos;41001-Aguadulce;Rusia;0
Ambos sexos;41001-Aguadulce;Ucrania;0
Ambos sexos;41001-Aguadulce;Total África;8
Ambos sexos;41001-Aguadulce;Argelia;0
Ambos sexos;41001-Aguadulce;Marruecos;8
Ambos sexos;41001-Aguadulce;Nigeria;0
Ambos sexos;41001-Aguadulce;Senegal;0
Ambos sexos;41001-Aguadulce;Total América;26
Ambos sexos;41001-Aguadulce;Argentina;1
Ambos sexos;41001-Aguadulce;Bolivia;1
Ambos sexos;41001-Aguadulce;Brasil;0
Ambos sexos;41001-Aguadulce;Colombia;7
Ambos sexos;41001-Aguadulce;Cuba;1
Ambos sexos;41001-Aguadulce;Chile;0
Ambos sexos;41001-Aguadulce;Ecuador;2
Ambos sexos;41001-Aguadulce;Paraguay;0
Ambos sexos;41001-Aguadulce;Perú;0
Ambos sexos;41001-Aguadulce;República Dominicana;1
Ambos sexos;41001-Aguadulce;Uruguay;0
Ambos sexos;41001-Aguadulce;Venezuela;2
Ambos sexos;41001-Aguadulce;Total Asia;1
Ambos sexos;41001-Aguadulce;China;1
Ambos sexos;41001-Aguadulce;Pakistán;0
Ambos sexos;41001-Aguadulce;Total Oceanía;0
Ambos sexos;41002-Alanís;Total Población;1.746
Ambos sexos;41002-Alanís;Nacidos en España;1.711
Ambos sexos;41002-Alanís;Nacidos en el Extranjero;35
Ambos sexos;41002-Alanís;Total Europa;17
Ambos sexos;41002-Alanís;Total Unión Europea;17
Ambos sexos;41002-Alanís;Alemania;0
Ambos sexos;41002-Alanís;Bulgaria;0
Ambos sexos;41002-Alanís;Francia;0
Ambos sexos;41002-Alanís;Italia;12
Ambos sexos;41002-Alanís;Polonia;0
Ambos sexos;41002-Alanís;Portugal;0
Ambos sexos;41002-Alanís;Reino Unido;0
Ambos sexos;41002-Alanís;Rumanía;5
Ambos sexos;41002-Alanís;Total Europa No Comunitaria;0
Ambos sexos;41002-Alanís;Rusia;0
Ambos sexos;41002-Alanís;Ucrania;0
Ambos sexos;41002-Alanís;Total África;8
Ambos sexos;41002-Alanís;Argelia;0
Ambos sexos;41002-Alanís;Marruecos;8
Ambos sexos;41002-Alanís;Nigeria;0
Ambos sexos;41002-Alanís;Senegal;0
Ambos sexos;41002-Alanís;Total América;7
Ambos sexos;41002-Alanís;Argentina;0
Ambos sexos;41002-Alanís;Bolivia;0
Ambos sexos;41002-Alanís;Brasil;0
Ambos sexos;41002-Alanís;Colombia;0
