Sexo;Municipios;País de nacimiento;Total
Ambos sexos;14001-Adamuz;Total Población;4.185
Ambos sexos;14001-Adamuz;Nacidos en España;4.083
Ambos sexos;14001-Adamuz;Nacidos en el Extranjero;102
Ambos sexos;14001-Adamuz;Total Europa;65
Ambos sexos;14001-Adamuz;Total Unión Europea;64
Ambos sexos;14001-Adamuz;Alemania;1
Ambos sexos;14001-Adamuz;Bulgaria;0
Ambos sexos;14001-Adamuz;Francia;8
Ambos sexos;14001-Adamuz;Italia;1
Ambos sexos;14001-Adamuz;Polonia;0
Ambos sexos;14001-Adamuz;Portugal;1
Ambos sexos;14001-Adamuz;Reino Unido;1
Ambos sexos;14001-Adamuz;Rumanía;52
Ambos sexos;14001-Adamuz;Total Europa No Comunitaria;1
Ambos sexos;14001-Adamuz;Rusia;1
Ambos sexos;14001-Adamuz;Ucrania;0
Ambos sexos;14001-Adamuz;Total África;18
Ambos sexos;14001-Adamuz;Argelia;0
Ambos sexos;14001-Adamuz;Marruecos;18
Ambos sexos;14001-Adamuz;Nigeria;0
Ambos sexos;14001-Adamuz;Senegal;0
Ambos sexos;14001-Adamuz;Total América;16
Ambos sexos;14001-Adamuz;Argentina;0
Ambos sexos;14001-Adamuz;Bolivia;0
Ambos sexos;14001-Adamuz;Brasil;0
Ambos sexos;14001-Adamuz;Colombia;3
Ambos sexos;14001-Adamuz;Cuba;0
Ambos sexos;14001-Adamuz;Chile;0
Ambos sexos;14001-Adamuz;Ecuador;6
Ambos sexos;14001-Adamuz;Paraguay;2
Ambos sexos;14001-Adamuz;Perú;1
Ambos sexos;14001-Adamuz;República Dominicana;0
Ambos sexos;14001-Adamuz;Uruguay;0
Ambos sexos;14001-Adamuz;Venezuela;0
Ambos sexos;14001-Adamuz;Total Asia;3
Ambos sexos;14001-Adamuz;China;2
Ambos sexos;14001-Adamuz;Pakistán;0
Ambos sexos;14001-Adamuz;Total Oceanía;0
Ambos sexos;14002-Aguilar de la Frontera;Total Población;13.438
Ambos sexos;14002-Aguilar de la Frontera;Nacidos en España;13.163
Ambos sexos;14002-Aguilar de la Frontera;Nacidos en el Extranjero;275
Ambos sexos;14002-Aguilar de la Frontera;Total Europa;65
Ambos sexos;14002-Aguilar de la Frontera;Total Unión Europea;58
Ambos sexos;14002-Aguilar de la Frontera;Alemania;6
Ambos sexos;14002-Aguilar de la Frontera;Bulgaria;1
Ambos sexos;14002-Aguilar de la Frontera;Francia;5
Ambos sexos;14002-Aguilar de la Frontera;Italia;1
Ambos sexos;14002-Aguilar de la Frontera;Polonia;1
Ambos sexos;14002-Aguilar de la Frontera;Portugal;1
Ambos sexos;14002-Aguilar de la Frontera;Reino Unido;5
Ambos sexos;14002-Aguilar de la Frontera;Rumanía;33
Ambos sexos;14002-Aguilar de la Frontera;Total Europa No Comunitaria;7
Ambos sexos;14002-Aguilar de la Frontera;Rusia;0
Ambos sexos;14002-Aguilar de la Frontera;Ucrania;6
Ambos sexos;14002-Aguilar de la Frontera;Total África;133
Ambos sexos;14002-Aguilar de la Frontera;Argelia;4
Ambos sexos;14002-Aguilar de la Frontera;Marruecos;129
Ambos sexos;14002-Aguilar de la Frontera;Nigeria;0
Ambos sexos;14002-Aguilar de la Frontera;Senegal;0
Ambos sexos;14002-Aguilar de la Frontera;Total América;58
Ambos sexos;14002-Aguilar de la Frontera;Argentina;2
Ambos sexos;14002-Aguilar de la Frontera;Bolivia;3
Ambos sexos;14002-Aguilar de la Frontera;Brasil;6
Ambos sexos;14002-Aguilar de la Frontera;Colombia;7
Ambos sexos;14002-Aguilar de la Frontera;Cuba;7
Ambos sexos;14002-Aguilar de la Frontera;Chile;1
Ambos sexos;14002-Aguilar de la Frontera;Ecuador;13
Ambos sexos;14002-Aguilar de la Frontera;Paraguay;5
Ambos sexos;14002-Aguilar de la Frontera;Perú;8
