Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;18001 Agrón;Africa;..
Ambos sexos;18001 Agrón;América;..
Ambos sexos;18001 Agrón;Asia;..
Ambos sexos;18001 Agrón;Europa;..
Ambos sexos;18001 Agrón;Resto;..
Ambos sexos;18002 Alamedilla;Africa;..
Ambos sexos;18002 Alamedilla;América;..
Ambos sexos;18002 Alamedilla;Asia;..
Ambos sexos;18002 Alamedilla;Europa;..
Ambos sexos;18002 Alamedilla;Resto;..
Ambos sexos;18003 Albolote;Africa;14
Ambos sexos;18003 Albolote;América;35
Ambos sexos;18003 Albolote;Asia;11
Ambos sexos;18003 Albolote;Europa;42
Ambos sexos;18003 Albolote;Resto;..
Ambos sexos;18004 Albondón;Africa;..
Ambos sexos;18004 Albondón;América;..
Ambos sexos;18004 Albondón;Asia;..
Ambos sexos;18004 Albondón;Europa;7
Ambos sexos;18004 Albondón;Resto;..
Ambos sexos;18005 Albuñán;Africa;..
Ambos sexos;18005 Albuñán;América;..
Ambos sexos;18005 Albuñán;Asia;..
Ambos sexos;18005 Albuñán;Europa;1
Ambos sexos;18005 Albuñán;Resto;..
Ambos sexos;18006 Albuñol;Africa;96
Ambos sexos;18006 Albuñol;América;5
Ambos sexos;18006 Albuñol;Asia;..
Ambos sexos;18006 Albuñol;Europa;18
Ambos sexos;18006 Albuñol;Resto;..
Ambos sexos;18007 Albuñuelas;Africa;..
Ambos sexos;18007 Albuñuelas;América;..
Ambos sexos;18007 Albuñuelas;Asia;..
Ambos sexos;18007 Albuñuelas;Europa;5
Ambos sexos;18007 Albuñuelas;Resto;..
Ambos sexos;18010 Aldeire;Africa;1
Ambos sexos;18010 Aldeire;América;..
Ambos sexos;18010 Aldeire;Asia;..
Ambos sexos;18010 Aldeire;Europa;..
Ambos sexos;18010 Aldeire;Resto;..
Ambos sexos;18011 Alfacar;Africa;3
Ambos sexos;18011 Alfacar;América;2
Ambos sexos;18011 Alfacar;Asia;..
Ambos sexos;18011 Alfacar;Europa;8
Ambos sexos;18011 Alfacar;Resto;..
Ambos sexos;18012 Algarinejo;Africa;..
Ambos sexos;18012 Algarinejo;América;..
Ambos sexos;18012 Algarinejo;Asia;..
Ambos sexos;18012 Algarinejo;Europa;..
Ambos sexos;18012 Algarinejo;Resto;..
Ambos sexos;18013 Alhama de Granada;Africa;52
Ambos sexos;18013 Alhama de Granada;América;11
Ambos sexos;18013 Alhama de Granada;Asia;..
Ambos sexos;18013 Alhama de Granada;Europa;13
Ambos sexos;18013 Alhama de Granada;Resto;..
Ambos sexos;18014 Alhendín;Africa;2
Ambos sexos;18014 Alhendín;América;2
Ambos sexos;18014 Alhendín;Asia;..
Ambos sexos;18014 Alhendín;Europa;15
Ambos sexos;18014 Alhendín;Resto;..
Ambos sexos;18015 Alicún de Ortega;Africa;..
Ambos sexos;18015 Alicún de Ortega;América;..
Ambos sexos;18015 Alicún de Ortega;Asia;..
Ambos sexos;18015 Alicún de Ortega;Europa;..
Ambos sexos;18015 Alicún de Ortega;Resto;..
Ambos sexos;18016 Almegíjar;Africa;..
Ambos sexos;18016 Almegíjar;América;1
Ambos sexos;18016 Almegíjar;Asia;..
Ambos sexos;18016 Almegíjar;Europa;1
Ambos sexos;18016 Almegíjar;Resto;..
Ambos sexos;18017 Almuñécar;Africa;91
Ambos sexos;18017 Almuñécar;América;146
Ambos sexos;18017 Almuñécar;Asia;25
Ambos sexos;18017 Almuñécar;Europa;1.591
Ambos sexos;18017 Almuñécar;Resto;4
Ambos sexos;18018 Alquife;Africa;..
Ambos sexos;18018 Alquife;América;..
Ambos sexos;18018 Alquife;Asia;..
Ambos sexos;18018 Alquife;Europa;..
Ambos sexos;18018 Alquife;Resto;..
Ambos sexos;18020 Arenas del Rey;Africa;5
Ambos sexos;18020 Arenas del Rey;América;..
Ambos sexos;18020 Arenas del Rey;Asia;..
Ambos sexos;18020 Arenas del Rey;Europa;16
Ambos sexos;18020 Arenas del Rey;Resto;..
Ambos sexos;18021 Armilla;Africa;59
Ambos sexos;18021 Armilla;América;49
Ambos sexos;18021 Armilla;Asia;6
Ambos sexos;18021 Armilla;Europa;68
Ambos sexos;18021 Armilla;Resto;1
Ambos sexos;18022 Atarfe;Africa;37
Ambos sexos;18022 Atarfe;América;11
Ambos sexos;18022 Atarfe;Asia;1
Ambos sexos;18022 Atarfe;Europa;20
Ambos sexos;18022 Atarfe;Resto;..
Ambos sexos;18023 Baza;Africa;130
Ambos sexos;18023 Baza;América;116
Ambos sexos;18023 Baza;Asia;9
Ambos sexos;18023 Baza;Europa;30
Ambos sexos;18023 Baza;Resto;..
Ambos sexos;18024 Beas de Granada;Africa;2
Ambos sexos;18024 Beas de Granada;América;..
Ambos sexos;18024 Beas de Granada;Asia;..
Ambos sexos;18024 Beas de Granada;Europa;..
Ambos sexos;18024 Beas de Granada;Resto;..
Ambos sexos;18025 Beas de Guadix;Africa;..
Ambos sexos;18025 Beas de Guadix;América;..
Ambos sexos;18025 Beas de Guadix;Asia;..
Ambos sexos;18025 Beas de Guadix;Europa;..
Ambos sexos;18025 Beas de Guadix;Resto;..
Ambos sexos;18027 Benalúa de Guadix;Africa;..
Ambos sexos;18027 Benalúa de Guadix;América;..
Ambos sexos;18027 Benalúa de Guadix;Asia;..
Ambos sexos;18027 Benalúa de Guadix;Europa;4
Ambos sexos;18027 Benalúa de Guadix;Resto;..
Ambos sexos;18028 Benalúa de las Villas;Africa;..
Ambos sexos;18028 Benalúa de las Villas;América;..
Ambos sexos;18028 Benalúa de las Villas;Asia;..
Ambos sexos;18028 Benalúa de las Villas;Europa;2
Ambos sexos;18028 Benalúa de las Villas;Resto;..
Ambos sexos;18029 Benamaurel;Africa;..
Ambos sexos;18029 Benamaurel;América;3
Ambos sexos;18029 Benamaurel;Asia;..
Ambos sexos;18029 Benamaurel;Europa;5
Ambos sexos;18029 Benamaurel;Resto;..
Ambos sexos;18030 Bérchules;Africa;..
Ambos sexos;18030 Bérchules;América;..
Ambos sexos;18030 Bérchules;Asia;..
Ambos sexos;18030 Bérchules;Europa;8
Ambos sexos;18030 Bérchules;Resto;..
Ambos sexos;18032 Bubión;Africa;2
